,정치단어
1015,"('시험', 16)"
1016,"('가치', 16)"
1017,"('절대', 16)"
1018,"('귀환', 16)"
1019,"('탈북민', 16)"
1020,"('권한', 16)"
1021,"('무관', 16)"
1022,"('제한', 16)"
1023,"('즉각', 16)"
1024,"('해리스', 16)"
1025,"('복구', 16)"
1026,"('송영길', 16)"
1027,"('연장', 16)"
1028,"('기사', 16)"
1029,"('무기', 16)"
1030,"('인민', 16)"
1031,"('김태호', 16)"
1032,"('조정', 16)"
1033,"('척', 16)"
1034,"('좌파', 16)"
1035,"('국무회의', 16)"
1036,"('분위기', 16)"
1037,"('토론회', 16)"
1038,"('수사권', 16)"
1039,"('명단', 16)"
1040,"('잡기', 16)"
1041,"('용산', 16)"
1042,"('의전', 16)"
1043,"('반드시', 16)"
1044,"('아들', 16)"
1045,"('출동', 16)"
1046,"('군사훈련', 16)"
1047,"('표심', 16)"
1048,"('관심', 16)"
1049,"('대전', 16)"
1050,"('박수현', 16)"
1051,"('핫라인', 16)"
1052,"('재보선', 16)"
1053,"('민정', 15)"
1054,"('훼손', 15)"
1055,"('연속', 15)"
1056,"('의회', 15)"
1057,"('서도', 15)"
1058,"('공작', 15)"
1059,"('수출', 15)"
1060,"('체포', 15)"
1061,"('부총리', 15)"
1062,"('리스트', 15)"
1063,"('지도자', 15)"
1064,"('파악', 15)"
1065,"('차기', 15)"
1066,"('전용기', 15)"
1067,"('참배', 15)"
1068,"('안보리', 15)"
1069,"('폭행', 15)"
1070,"('성폭력', 15)"
1071,"('적대', 15)"
1072,"('휴가', 15)"
1073,"('점', 15)"
1074,"('부족', 15)"
1075,"('지자체', 15)"
1076,"('창설', 15)"
1077,"('군용기', 15)"
1078,"('수역', 15)"
1079,"('최저', 15)"
1080,"('수준', 15)"
1081,"('베이징', 15)"
1082,"('부상', 15)"
1083,"('유럽', 15)"
1084,"('무슨', 15)"
1085,"('삼성', 15)"
1086,"('해제', 15)"
1087,"('기준', 15)"
1088,"('의안', 15)"
1089,"('사장', 15)"
1090,"('꼭', 15)"
1091,"('수장', 15)"
1092,"('친문', 15)"
1093,"('주택', 15)"
1094,"('보유', 15)"
1095,"('우선', 15)"
1096,"('박주선', 15)"
1097,"('바람', 15)"
1098,"('소집', 15)"
1099,"('경쟁', 15)"
1100,"('지대', 15)"
1101,"('인물', 15)"
1102,"('격전', 15)"
1103,"('추락', 15)"
1104,"('터', 15)"
1105,"('질', 15)"
1106,"('은수미', 15)"
1107,"('조폭', 15)"
1108,"('김부선', 15)"
1109,"('싹', 15)"
1110,"('우세', 15)"
1111,"('을', 15)"
